State,Weather,Budget Level,Budget (INR),Transportation Options,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights,Food Cost (INR),Hotel Cost (INR)
3,2,2,12506,1,0,48,0,4.8,2,4,0,1,1,879,3
1,2,0,35704,1,3,34,0,4.1,1,0,2,1,0,1999,3478
0,2,1,44474,1,13,73,0,4.3,1,3,2,0,1,1687,3983
1,3,1,28097,1,3,46,0,4.3,2,0,0,0,1,1395,3
2,2,0,28394,0,6,1,1,3.5,2,5,0,0,1,1612,1543
0,3,1,25606,1,10,34,0,3.5,2,3,0,0,2,1584,1148
5,2,0,36678,1,4,0,1,3.7,1,2,2,0,2,597,1604
3,2,2,18641,1,5,68,1,4.4,0,4,2,1,2,970,4785
3,1,1,44937,0,0,57,0,4.1,0,4,2,1,0,1271,3134
5,1,2,39037,0,1,65,1,3.6,1,2,0,0,0,1239,1503
6,2,0,11077,0,11,0,2,4.5,2,1,2,0,0,1700,3
2,1,0,44149,0,6,51,0,4.9,0,5,0,1,2,1737,1655
4,3,2,49222,1,12,13,1,3.8,1,6,2,0,1,1821,4767
1,3,0,35186,0,7,74,2,4.4,1,0,0,1,1,1935,3
5,1,1,34646,0,1,17,1,4.5,1,2,2,0,0,1447,3071
5,0,2,30180,0,1,0,1,3.6,0,2,0,1,2,1282,1058
0,2,0,36919,0,10,24,0,4.5,0,3,1,1,2,1748,3705
4,2,2,17675,1,9,43,1,4.0,1,6,1,0,0,1842,3
2,2,2,6466,1,6,34,1,4.0,1,5,1,0,2,1480,3849
3,3,0,29856,0,0,40,2,4.7,1,4,2,0,1,612,2884
3,0,0,46621,0,0,68,1,3.7,1,4,2,0,0,1349,4069
6,1,2,15922,0,8,62,1,4.9,0,1,1,0,2,2000,4273
5,3,1,21272,0,4,66,2,4.8,2,2,1,0,1,1530,3555
0,3,1,5555,1,10,19,2,4.2,0,3,2,0,2,1603,3
5,0,1,24855,1,1,17,2,4.6,1,2,1,1,0,1800,3
1,2,0,14499,1,3,51,1,4.1,1,0,1,1,2,771,3
2,3,0,46104,0,6,8,1,3.6,1,5,0,1,2,1291,1810
1,1,0,44974,1,7,18,2,4.1,0,0,0,1,1,695,3
6,2,1,17300,0,8,34,0,4.9,1,1,2,1,2,579,3
6,0,1,49269,0,11,28,2,4.6,0,1,0,0,2,1775,3
3,1,2,13124,0,5,19,2,4.5,0,4,1,0,0,1087,3536
3,3,2,40212,0,5,68,1,4.3,0,4,1,1,0,894,3
4,3,2,17270,0,9,73,2,4.1,1,6,2,1,0,893,3
2,2,0,47375,1,2,34,1,4.4,0,5,0,1,1,1738,3895
3,1,2,5388,0,0,21,2,4.5,2,4,2,1,1,1549,4467
0,0,1,29216,1,13,44,0,3.9,1,3,1,0,2,1963,1681
2,3,1,8813,0,6,60,1,3.5,1,5,2,0,1,1409,3
0,3,1,22454,0,10,39,0,3.7,1,3,2,0,2,1064,3
5,0,1,7803,0,1,51,2,4.9,1,2,2,0,2,1105,3
1,2,2,31015,0,7,68,1,4.3,0,0,1,0,1,1335,2716
6,0,0,9815,0,8,39,1,4.5,1,1,2,1,1,614,4697
0,0,2,38319,0,13,58,1,3.7,0,3,0,0,1,1371,4056
2,2,0,41990,1,6,66,1,4.1,1,5,1,0,1,1829,3
1,3,2,45180,0,3,73,2,3.8,2,0,1,0,2,1946,2072
5,0,2,45061,0,4,51,0,4.3,2,2,0,1,1,1978,3
0,0,1,43024,1,13,54,1,3.6,1,3,0,0,2,1078,1794
3,1,0,45193,1,5,45,2,4.8,0,4,2,1,2,1456,3419
0,2,1,36970,1,13,30,2,4.6,2,3,0,1,2,1201,3
2,0,1,32796,0,6,1,2,3.8,0,5,1,1,2,1719,2443
0,2,0,40613,0,13,52,1,4.6,2,3,0,0,2,710,3
4,0,0,34861,0,12,73,2,4.9,0,6,2,1,2,1142,1494
0,3,2,47063,1,10,51,1,4.1,0,3,2,1,1,587,3986
2,2,0,25671,0,6,68,0,3.6,2,5,1,0,1,1251,3788
5,0,1,20970,0,4,75,0,5.0,1,2,2,0,0,1773,3
0,1,1,28214,1,10,77,1,3.8,0,3,0,0,2,1436,3019
0,1,0,37291,1,13,46,0,4.0,1,3,0,1,0,639,1203
2,3,0,15337,0,2,0,2,4.2,1,5,1,0,2,1602,2214
0,0,1,42289,1,10,48,1,5.0,2,3,2,1,2,1704,1587
6,3,1,9378,0,11,13,2,4.4,0,1,0,1,2,1500,3
4,0,2,20081,0,12,83,0,4.9,0,6,2,1,0,1888,3
5,0,1,33077,1,1,75,0,4.1,2,2,1,0,1,1222,3
3,2,1,14770,0,5,26,1,4.6,1,4,0,0,0,1263,3
1,0,1,45679,0,3,35,0,3.6,1,0,1,0,1,1061,3
1,0,0,17636,1,7,38,2,3.7,0,0,0,1,0,1302,1156
0,3,1,41583,1,10,42,1,4.0,2,3,0,0,0,935,3
0,1,1,20015,0,10,81,2,4.7,0,3,0,1,0,1695,4089
6,0,1,46633,0,8,13,1,4.2,0,1,2,1,0,952,3
2,1,0,23968,0,2,13,0,3.6,2,5,2,1,2,1674,1247
2,2,1,35647,1,2,39,2,4.4,2,5,2,1,2,634,2314
3,3,2,19828,0,0,17,1,4.7,0,4,1,0,0,1184,3
1,0,1,18865,0,3,17,2,4.7,2,0,0,0,2,1393,3219
4,3,1,30991,1,9,47,2,3.9,1,6,0,1,1,950,3
3,0,1,26541,1,0,79,0,3.9,1,4,1,1,2,1951,3
4,2,1,21953,0,9,60,2,4.4,2,6,2,1,2,747,3953
2,0,1,29462,1,6,41,2,3.6,2,5,0,1,2,1274,3
5,0,2,22230,0,4,4,1,4.2,1,2,0,1,1,1124,4842
5,1,0,31419,1,1,49,2,4.9,1,2,2,1,2,1551,3399
0,1,2,39698,0,10,68,1,3.8,1,3,0,0,2,1437,3
0,2,0,36008,0,10,38,0,3.9,2,3,1,0,1,771,3
1,2,0,29521,0,7,81,0,3.6,1,0,0,1,2,1554,1263
2,0,0,18676,0,6,5,1,4.7,2,5,1,1,0,1302,2019
4,1,2,5932,1,9,37,0,4.2,0,6,1,0,2,901,3413
2,2,1,11063,0,2,9,2,3.6,0,5,1,1,1,1878,3674
6,0,0,39381,0,8,8,1,4.2,0,1,0,0,1,1543,3679
5,1,1,15946,1,4,0,1,4.8,2,2,1,0,0,1753,1598
0,2,0,20255,1,10,51,1,4.9,2,3,2,1,1,1861,3
